n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,1.0,100000.0,0.15374489930235619,0.387358176678948,0.26471514006924773,31.5,6.235637871342197,499.9165845894032,0.07779910415410995,0.002570116972834459,9.0,0.7352848599307523,1773.9918469978666,1.8,Drones_5D,42
5,0,5,1.0,100000.0,0.1123250405861963,0.3421252721926278,0.5823135911241638,27.0,5.972534699620327,565.7991340946102,0.07405278086662292,0.0024050909470822845,9.0,0.4176864088758362,1429.857228779791,1.4,Dogs_5P,42
5,3,2,1.0,100000.0,0.16572331183361855,0.42472329049286167,0.13885088919288646,38.0,7.702118669298625,505.799969469403,0.08662436157464981,0.0023978100450560563,9.0,0.8611491108071135,1947.7382870468518,1.5,Mixed_3D2P,42
5,5,0,1.0,100000.0,0.15365714536439823,0.3874077453914976,0.26559714795008915,41.0,6.225177950233331,499.91452382958784,0.07770715653896332,0.002570116972834459,13.0,0.7344028520499108,1774.8859014395612,1.8,Drones_5D,123
5,0,5,1.0,100000.0,0.10978017638541529,0.33584000895156146,0.5922757272060621,30.0,5.867144687102379,566.2031236917703,0.07317664474248886,0.00240367034212134,26.0,0.4077242727939379,1407.9402468392534,1.3,Dogs_5P,123
5,3,2,1.0,100000.0,0.1658110657715765,0.42524623259516386,0.13908189998860918,41.0,7.698018410027256,505.79283594888415,0.08661116659641266,0.0023962691008004126,13.0,0.8609181000113908,1946.713695583095,1.6,Mixed_3D2P,123
5,5,0,1.0,100000.0,0.15374489930235619,0.38735865523832874,0.2651006711409396,31.5,6.23117492438805,499.92729173601606,0.07771609723567963,0.002570116972834459,0.0,0.7348993288590604,1775.007845825716,1.7,Drones_5D,456
5,0,5,1.0,100000.0,0.12893247334474134,0.38667031367045473,0.5009341032608695,34.5,7.326984913988094,536.8885289453536,0.08724437654018402,0.0024012982034497025,0.0,0.49906589673913043,1598.5895221181788,1.4,Dogs_5P,456
5,3,2,1.0,100000.0,0.16596463516300294,0.42544149987459234,0.13828454265861714,35.0,7.702855173695249,505.81603018932344,0.08675967901945114,0.0023962691008004126,0.0,0.8617154573413829,1945.6356318186633,1.5,Mixed_3D2P,456
5,5,0,1.0,100000.0,0.15356939142644027,0.38735865523832874,0.26601656705462934,33.0,6.224869798965819,499.9038166829764,0.07772953808307648,0.002570116972834459,3.0,0.7339834329453706,1773.2413924436319,1.9,Drones_5D,789
5,0,5,1.0,100000.0,0.11408011934535563,0.3549477067568542,0.5790836975878259,30.0,6.171569425767142,567.124420100277,0.07764599472284317,0.002405160406383001,3.0,0.4209163024121742,1432.3632391713747,1.3,Dogs_5P,789
5,3,2,1.0,100000.0,0.16603045061647143,0.4256296875927712,0.13813916410431615,38.0,7.704337715973017,505.8024198450923,0.08685500919818878,0.0023977381788562913,3.0,0.8618608358956839,1945.6991844084314,1.6,Mixed_3D2P,789
5,5,0,1.0,100000.0,0.1577815804484226,0.39407012749312503,0.29233494047033354,33.5,6.394397175313866,499.8924212362685,0.07928144931793213,0.002570116972834459,6.0,0.7076650595296664,1721.5220572097446,1.9,Drones_5D,2025
5,0,5,1.0,100000.0,0.10319863103856786,0.32469541531923085,0.6186461289014998,28.999999999999996,5.529693752747433,565.996119469789,0.07147309929132462,0.0024051003389305996,17.0,0.3813538710985002,1406.8630196936542,1.3,Dogs_5P,2025
5,3,2,1.0,100000.0,0.16572331183361855,0.42474234632773356,0.13894904821611764,39.5,7.698489446718648,505.8297356051576,0.08662635833024979,0.0023978100450560563,6.0,0.8610509517838824,1947.8845909283596,1.5,Mixed_3D2P,2025
